Malting Plant,Malt Line,Number of Steep Lines,MA-K2301-Minimum Steeping Cycle Time,Duration of Steep (hours),Steep Cycle Time (Hours),Barley Batch Size (MT),Number of immersions (#),Number of aerations (#),Water Attemporation (Y/N),Air Attemporation S (Y/N),End of Steep Moisture (%),Type of Steep Tanks (Choose),Steep Transfer-In (Choose),Steep Transfer-Out (Choose),Minimum Germination Time MA-K2301,Duration of Germ (hours),Steep to Germ transfer time (Hours),Germ to Kiln transfer time (Hours),Water Attemporation G(Y/N),Air Attemporation G(Y/N),Green Malt Moisture at end Germination (%),Vessel Cleaning Time (Hours),Start of Germ Temp ('C),Max of Germ Temp ('C),End of Germ Temp ('C),Minimum Kilning time MA-K2301,Duration of Kiln (hours),"Kiln-Single, Double or triple deck (Choose)","Kiln Heat Equipment Type
Direct or Indirect Fired (Choose)","Heating Source for Kiln
Air to Air, Hot water Boiler, Steam Boiler, other (Choose)",Average Cool Down Time Requirement (time from end of kilning to transfer) (Hours),Moisture (%),Gross Malt Produced,Dirty Barley to Clean Malt Yield (#),Clean Barley to Clean Malt Yield (#),Total Barley to Malt Loss,Total Technical Productivity (MT per man hr),Total Plant Productivity (MT per man hour),Total Energy Ratio (MJ/Metric Tonne),Electrical Usage ratio (KWh/MT of cleaned malt),Heat Usage Ratio (MJ/MT of cleaned malt),Water Usage Ratio (m3/MT of cleaned malt),Electrical Usage ratio (KWh/MT of cleaned malt),Heat Usage Ratio (MJ/MT of cleaned malt),Water Usage Ratio (m3/MT of cleaned malt),Consumption,Total Barley to Malt Loss,Total Technical Productivity (MT per man hr)
PLANT1,5,7,NA,12,24,50,1,1,N,Y,38,Conical,pump,mechanical,NA,76.8,1.5,3,N,Y,43,1.5,18,22,15,NA,19.6,Single-Kiln,Direct,Hot Water Boiler,1,4.5,85005,1.130536868,1.177772317,0.177772317,0.946303879,0.380534184,4706.2658,135.102,4219.8986,2.8989,0.35402171,0.463725121,0.019455705,0.837202536,0.115195954,0.107361378
PLANT2,1,1,42,42,42,125,2,2,Y,Y,45,Cylindro Conical steep tanks,wet,Dry transfer,110,110,3,3,Y,Y,43,2,18,22,22,,34,Single-Kiln,Indirect Fired,Steam Boiler,1.5,4.8,9724,1.299270404,1.200915484,0.299270404,0.209704991,0.072189234,5165.0478,216.5955,4385.304,3.75,0.567567537,0.481901538,0.025167785,1.07463686,0.025527916,0.020366989
PLANT3,1,2,35,28,37,360,2,5min on 15min off during wet stand,NA,N,46,Cylindro Conical steep tanks,wet,Dry transfer,138,117,3.5,4.5,N,N,44,4,14,19,14,,28,Single-Kiln,Indirect Fired,Steam Boiler,N,4.6,93584,1.328635237,1.122157634,0.328635237,1.940972726,0.955555206,3327.504,146.92,2798.592,4.43,0.384989635,0.307537582,0.029731544,0.722258761,0.236279497,0.269593975
PLANT4,1,6,32,32,36,12.5,3,2,Y,N,43.25,Conical,dry,wet,95,100,0.5,0.7,N,Y,43.5,manual,17,15.5,15.5,24,24,Single-Kiln,Indirect Fired,Steam Boiler,0,4.5,27226,1.193624208,0.138847007,0.193624208,0.451287855,0.169894384,3896.9388,179.3835,3251.1582,5.2157,0.470057094,0.357270132,0.035004698,0.862331923,0.054936407,0.047932869
PLANT5,1,4,28,28,36,174,2,2,Y,Y,42.5,Conical,Conveyors,Conveyors + Green Malt Leg,,63,2,2.5,Y,Y,46,2,18.8,28.8,26.6,,27,Double deck,Indirect Fired,Steam Boiler,0.25,5,131600,1.236279379,1.208663731,0.236279379,2.270022252,1.56029546,3593.02676,149.8646,3053.5142,6.3524,0.392705674,0.335551011,0.042633557,0.770890242,0.276335524,0.440211359
PLANT6,1,2,28,40,48,350,3,3,Y,Y,45,FBST,wet,Dry transfer,74.5,83.5,2.5,2.5,Y,Y,45,4,15.5,14.5,12,20.5,24.75,Single-Kiln,Indirect Fired,Gas Burner,1,4.5,81854,1.187439969,1.18565472,0.187439969,2.386695241,1.117553656,3026.67452,129.6537,2559.9212,6.0782,0.339744968,0.281310022,0.040793289,0.661848278,0.290538421,0.315299138
PLANT7,3,3,34,30,34,330,1,1,Y,N,36,Conical,Pump,Gravity,80,72,2,5,N,N,43,5,17,21,21,38,34,Single-Kiln,Indirect Fired,Hot Water Boiler,1,5,187245,0,1.26152207,0.26152207,0.857527454,0.857527454,4107.897417,130.5270604,3638,3.79,0.342033524,0.39978022,0.025436242,0.767249985,0.104388976,0.241937079
PLANT8,1,1,28,25.9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,Single-Kiln,Direct,Steam Boiler,NA,NA,78827,1.190795041,1.17306994,0.190795041,1.871216632,1.823515843,2052.056,129.11,1587.26,2.86,0.338320254,0.174424176,0.019194631,0.531939061,0.227787912,0.514474603
PLANT9,1,4,0,168,14,360,2,2,Y,Y,44.5,Conical and flat bottom,0,0,,78,0,0,0,0,0,0,0,0,0,,28,Single-Kiln,Indirect Fired,Steam Boiler,1,4.5,186687,1.234091812,1.178374539,0.234091812,0.672136012,0.429383926,4304,185,3638,3.51,0.484774588,0.39978022,0.023557047,0.908111855,0.081820809,0.121143518
PLANT10,1,4,0,17,14,85,2,1,n,n,0.41,CCT,DRY,WATER,,102,1,5,N,0,45,8,20,0,16,,17,Single-Kiln,Direct,Steam Boiler,0.5,5,116851,1.172561048,1.159888542,0.172561048,0.768631274,0.453665347,3027.14156,153.7371,2473.688,5.7518,0.402853185,0.271833846,0.038602685,0.713289716,0.09356742,0.127994117
